1.0,-36.0,0.002732378495533634,0.004855215912708502
1.0,-35.0,0.00209243766868674,0.0033743164526087986
1.0,-34.0,0.001737786430786593,0.0026083740049842007
1.0,-33.0,0.0014848795049921656,0.0020921927152892685
1.0,-32.0,0.00128841850993702,0.00171147453949488
1.0,-31.0,0.0011287948470586075,0.001417028490135424
1.0,-30.0,0.0009954377663606068,0.001182524156295179
1.0,-29.0,0.0008818947125239961,0.0009920224492073538
1.0,-28.0,0.0007838938090242775,0.0008350705740473681
1.0,-27.0,0.0006984393324815756,0.000704415311977669
1.0,-26.0,0.0006233380536644148,0.0005948075020002252
1.0,-25.0,0.0005569296046922516,0.0005023227353928369
1.0,-24.0,0.0004979228871033652,0.0004239500518150088
1.0,-23.0,0.00044529168923115403,0.0003573300899458873
1.0,-22.0,0.0003982053060247662,0.00030058146329640814
1.0,-21.0,0.0003559808398828533,0.0002521816920931324
1.0,-20.0,0.0003180494655091083,0.00021088320110036
1.0,-19.0,0.0002839319933463892,0.00017565260579143025
1.0,-18.0,0.00025322080821939155,0.00014562590531079945
1.0,-17.0,0.00022556629622625776,0.00012007480826239132
1.0,-16.0,0.0002006665133476986,9.838101829818054e-5
1.0,-15.0,0.0,0.0
1.0,-14.0,0.0,0.0
1.0,-13.0,0.0,0.0
1.0,-12.0,0.0,0.0
1.0,-11.0,0.0,0.0
1.0,-10.0,0.0,0.0
1.0,-9.0,0.0,0.0
1.0,-8.0,0.0,0.0
1.0,-7.0,0.0,0.0
1.0,-6.0,0.0,0.0
1.0,-5.0,0.0,0.0
1.0,-4.0,0.0,0.0
1.0,-3.0,0.0,0.0
1.0,-2.0,0.0,0.0
1.0,-1.0,0.0,0.0
1.0,0.0,0.0,0.0
2.0,-36.0,0.003601354008101206,0.006911566705464753
2.0,-35.0,0.0023237226550825336,0.003841379504415103
2.0,-34.0,0.001882600320364551,0.0028735527540664652
2.0,-33.0,0.0015904319887012994,0.0022703691794300133
2.0,-32.0,0.0013705589165572546,0.0018403203915978168
2.0,-31.0,0.0011951073861443424,0.0015141381895748842
2.0,-30.0,0.0010502407532788803,0.0012576645819954461
2.0,-29.0,0.0009279205391974624,0.0010512115436318334
2.0,-28.0,0.0008229991332691855,0.000882285632612479
2.0,-27.0,0.0007319524037975096,0.0007424205858784452
2.0,-26.0,0.0006522468189407053,0.0006255980941149818
2.0,-25.0,0.000581991610610955,0.0005273813794570066
2.0,-24.0,0.0005197333803516949,0.0004444045980749012
2.0,-23.0,0.0004643278454230493,0.00037405470842158547
2.0,-22.0,0.00041485608237221654,0.00031426420726124774
2.0,-21.0,0.00037056778260346264,0.0002633710588090367
2.0,-20.0,0.000330841613589343,0.00022002109172872418
2.0,-19.0,0.00029515680721838765,0.00018309819992680816
2.0,-18.0,0.00026307234939254424,0.0001516733020435638
2.0,-17.0,0.0,0.0
2.0,-16.0,0.0,0.0
2.0,-15.0,0.0,0.0
2.0,-14.0,0.0,0.0
2.0,-13.0,0.0,0.0
2.0,-12.0,0.0,0.0
2.0,-11.0,0.0,0.0
2.0,-10.0,0.0,0.0
2.0,-9.0,0.0,0.0
2.0,-8.0,0.0,0.0
2.0,-7.0,0.0,0.0
2.0,-6.0,0.0,0.0
2.0,-5.0,0.0,0.0
2.0,-4.0,0.0,0.0
2.0,-3.0,0.0,0.0
2.0,-2.0,0.0,0.0
2.0,-1.0,0.0,0.0
2.0,0.0,0.0,0.0
3.0,-36.0,0.004038226179069907,0.007890796023431103
3.0,-35.0,0.0026594802796292764,0.004550201599547329
3.0,-34.0,0.002058837117541311,0.003205144219786965
3.0,-33.0,0.001712424746964269,0.0024805457418287415
3.0,-32.0,0.0014631179003256416,0.0019879311385970276
3.0,-31.0,0.001268703283576913,0.001623425925284987
3.0,-30.0,0.0011104458427887035,0.0013412095160720075
3.0,-29.0,0.000978113318705911,0.0011164423546872737
3.0,-28.0,0.0008654085357078815,0.0009339698682428421
3.0,-27.0,0.000768138873463256,0.0007838011658700905
3.0,-26.0,0.0006833519679086497,0.0006589774040836677
3.0,-25.0,0.0006088794658802912,0.0005544484505705485
3.0,-24.0,0.0005430757313812622,0.0004664307812867295
3.0,-23.0,0.0004846585630150241,0.0003920168959901119
3.0,-22.0,0.0004326071754613634,0.0003289257352155609
3.0,-21.0,0.00038609418132434954,0.00027533668661596997
3.0,-20.0,0.0003444387110372455,0.00022977546230082895
3.0,-19.0,0.00030707319153077306,0.00019103341470251285
3.0,-18.0,0.00027351924851112705,0.00015810911588937283
3.0,-17.0,0.00024336988505576095,0.00013016517670472796
3.0,-16.0,0.0002162760981970429,0.00010649575224556078
3.0,-15.0,0.00019193672318099908,8.650170083406078e-5
3.0,-14.0,0.0,0.0
3.0,-13.0,0.0,0.0
3.0,-12.0,0.0,0.0
3.0,-11.0,0.0,0.0
3.0,-10.0,0.0,0.0
3.0,-9.0,0.0,0.0
3.0,-8.0,0.0,0.0
3.0,-7.0,0.0,0.0
3.0,-6.0,0.0,0.0
3.0,-5.0,0.0,0.0
3.0,-4.0,0.0,0.0
3.0,-3.0,0.0,0.0
3.0,-2.0,0.0,0.0
3.0,-1.0,0.0,0.0
3.0,0.0,0.0,0.0
4.0,-36.0,0.004676278474130754,0.009373441161648897
4.0,-35.0,0.0035598480602119457,0.006622036901477801
4.0,-34.0,0.002284388978597293,0.003643733832011809
4.0,-33.0,0.0018562516652710819,0.002734170345431024
4.0,-32.0,0.00156857536374658,0.002159222304468922
4.0,-31.0,0.0013509754314819926,0.0017474668880647793
4.0,-30.0,0.0011769323980686409,0.0014346741475326221
